dia,data,campanha,adset,anuncio,investimento,impressoes,cliques,conversas_whatsapp,conversas_qualificadas,cpw,taxa_qualificacao,taxa_avanco_link,vendas,receita,observacoes
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
